Zeitstempel,Heutiges Datum,Wie lautet deine ID?,Geschlechter,Altersgruppen,War genug Tastingware vorhanden?,Wie viel Tasting Shots hast du heute ausgegeben? (GIN MARE pur),Wie viel gemischte Tasting Shots hast du heute ausgegeben? (GIN MARE gemischt mit Tonic),Kundenfeedback zum Tasting (bspw Bevorzugung mit bestimmtem Tonic zu mischen? Wenn ja mit welchem?),Verkäufe gesamt in Stück,Was waren Gründe für die Nicht-Käufe?,"Gab es besondere Rückmeldungen zu GIN MARE Produkten?
Haben bestimmte Artikel gefehlt?"
09.06.2026 10:44:20,09.06.2026,93622,"weiblich, männlich",35-44,Nein,50,40,Ja viele  trinken es nur mit tonic water und am liebsten hat der fever tree mediteranes tonic water geschmeckt,6,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")",Die Stofftaschen haben leider an den ersten paar Tagen gefehlt und wären als zusätzliches Kaufargument gut gewesen
09.06.2026 18:37:03,09.06.2026,93159,"weiblich, männlich, divers","35-44, 45-54, 55-64",Ja,50,40,Ich hatte nur Fever tree und Schweppes Indian zur Verfügung da wurde jedoch Fever Tree bevorzugt,4,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")","Es gab Rückfragen zu alkoholfreiem Gin.
Der Großteil der nichtkäufe war aufgrund von großen Flaschen und Flug mit Handgepäck, Personen die durch München zurückfliegen wollen die Flaschen auf dem Rückweg mitnehmen."
19.06.2026 09:38:02,10.06.2026,91588,männlich,45-54,Ja,30,20,"Überwiegend sehr positiv, Wunsch nach fevertree wurde geäußert",4,Preis zu hoch,
19.06.2026 09:38:07,10.06.2026,91588,männlich,45-54,Ja,30,20,"Überwiegend sehr positiv, Wunsch nach fevertree wurde geäußert",4,Preis zu hoch,
11.06.2026 18:39:42,11.06.2026,93159,"weiblich, männlich","18-24, 25-34, 35-44, 45-54, 55-64",Ja,55,50,Sehr positives Feedback vorallem zum Gin Mare Capri,6,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")",Flüge nur mit Handgepäck und daher keine Rücktransportmöglichkeit.
12.06.2026 20:06:52,12.06.2026,93622,männlich,35-44,Ja,20,20,Gin Tonic kommt besser an als purer Gin,6,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")",
16.06.2026 12:39:26,12.06.2026,93622,divers,35-44,Ja,20,25,Fever tree mediterranes Tonic Water wird oft bevorzugt ,8,"Bevorzugung einer anderen Marke, Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")","Den Orginal kennen viele, der Capri wird öfter probiert "
13.06.2026 18:40:10,13.06.2026,93159,"weiblich, männlich","18-24, 25-34, 35-44, 45-54, 55-64, 65+",Ja,52,50,"Positives Feedback, Capri prozentual etwas favorisiert",9,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")","Große Flasche schwierig im Transport, vorallem bei Reise nur mit Handgepäck "
19.06.2026 09:39:29,14.06.2026,91588,männlich,35-44,Ja,40,30,Sehr positives Feedback über den ganzen Tag hinweg,8,Preis zu hoch,
19.06.2026 09:41:13,15.06.2026,91588,männlich,45-54,Ja,15,6,"Sehr gutes Feedback, mehrere Kunden meinten sie werden es auf dem Rückflug kaufen, generell wenige (interessierte) Kunden an dem Tag ",2,Preis zu hoch,
17.06.2026 10:31:20,16.06.2026,93622,divers,35-44,Ja,10,5,Fever tree,3,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")",
18.06.2026 20:10:32,18.06.2026,93622,männlich,35-44,Ja,10,5,Fever tree,1,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")","Capri finden viele die keinen Gin mögen, besser"
23.06.2026 11:45:01,19.06.2026,91588,männlich,"25-34, 35-44",Ja,50,10,"Sehr gutes Feedback, Wunsch nach anderem Tonic water wurde geäußert",7,"Preis zu hoch, Bevorzugung einer anderen Marke",
20.06.2026 18:52:28,20.06.2026,80014,männlich,"35-44, 45-54, 55-64",Ja,65,20,Tonic Fever Tree,5,"Preis zu hoch, Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")","Größtenteils sehr positiv zum Geschmack. Bemängelung des Fehlens von kleineren Flaschen. Die 0,7er (vom tasting) sähen besser aus, haben eine angenehmere Größe.
Häufigster grund für nicht kauf: abreise und damiteinhergehende nicht-Bereitschaft eine so große Flasche mitzunehmen."
23.06.2026 11:54:23,20.06.2026,80014,männlich,"35-44, 45-54, 55-64",Ja,35,22,Viele bevorzugen pur.,5,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")","Schon viel bekannt, capri für viele überraschend und neu"
21.06.2026 22:09:00,21.06.2026,93622,männlich,35-44,Ja,10,2,Fever tree,2,"Sonstiges (Bitte Grund ergänzen im Freifeld ""Kundenfeedback"")","Waren auf den weg in den Urlaub, würden den Gin auf dem Heimweg kaufen"
23.06.2026 20:31:27,23.06.2026,93159,"weiblich, männlich","18-24, 25-34, 45-54, 55-64",Ja,24,8,Starker alkohol,1,"Preis zu hoch, Bevorzugung einer anderen Marke",
,,,,,,566,373,,81,,